review_id,platform,rating,review_text,user_name,date,app_version
R001,Google Play,1,"Check out this amazing crypto deal at coinmaster.scam - get 1000 free tokens now! Click here!",spambot_99,2025-06-29,1.8.2
R002,Google Play,2,"I've been trying to reach customer support for 3 weeks about my billing issue. No response at all. Very disappointed with the service quality.",frustrated_user,2025-07-15,4.8.4
R003,Google Play,1,"The data sync feature completely stopped working after the latest update. None of my documents are syncing between my phone and tablet anymore. This is critical for my work.",productivity_pro,2025-07-07,4.0.4
R004,App Store,1,"I can't access any of my synced data since yesterday. The app shows 'sync failed' error constantly. Lost hours of work because of this.",emma_designer,2025-07-08,1.5.6
R005,Google Play,4,"Really loving the new collaboration feature you added! Makes sharing documents with my team so much easier. Great job!",team_leader_21,2025-07-02,3.1.8
R006,Google Play,1,"App won't let me login after the 4.8.4 update. Keeps saying 'invalid credentials' even though I'm using the same password. Can't access my account at all.",user_since_2020,2025-07-18,2.0.8
R007,App Store,2,"My files aren't syncing properly between devices. Sometimes they sync, sometimes they don't. Very unreliable for professional use.",consultant_mike,2025-07-11,2.1.2
R008,Google Play,4,"This app has transformed my workflow! The document management features are exactly what I needed. Highly recommend for anyone in content creation.",content_creator_sara,2025-07-14,4.1.1
R009,Google Play,3,"The app is good but really needs an export feature. I can't get my data out in standard formats like PDF or Word. This is a dealbreaker for many users.",business_analyst,2025-07-11,3.7.4
R010,Google Play,1,"CRITICAL BUG: All my project files disappeared after sync. Three months of work gone. This needs immediate attention!",project_manager_emma,2025-07-17,4.5.7
R011,Google Play,3,"Please add bulk export functionality. Having to export files one by one is incredibly time-consuming when you have hundreds of documents.",freelancer_michael,2025-06-23,2.8.5
R012,Google Play,1,"$29.99/month is way too expensive for what this app offers. Competitors provide similar features for half the price. Not worth it.",budget_conscious_user,2025-06-30,2.3.0
R013,App Store,4,"Would be perfect if you added Touch ID support. Having to type password every time is annoying. Otherwise great app!",security_minded,2025-06-28,2.7.7
R014,App Store,1,"App crashes immediately when I tap on Settings. Can't change any preferences or configure anything. Makes the app unusable.",tech_enthusiast,2025-07-06,2.6.9
R015,App Store,1,"asdkjfh aslkdjf 123!@# random nonsense text here blah blah",fake_account_123,2025-06-24,3.5.2
R016,Google Play,1,"qwerty12345 zxcvbnm asdfgh random keyboard mashing text",spam_user_456,2025-07-12,4.0.7
R017,App Store,3,"Dark mode would be a game-changer for this app. My eyes get strained during long work sessions. Please consider adding this feature!",night_owl_designer,2025-07-21,4.9.3
R018,Google Play,3,"Biometric login would make this app much more secure and convenient. Face ID or fingerprint unlock would be great additions.",security_pro,2025-07-14,1.1.4
