source_id,source_type,category,priority,technical_details,suggested_title
R001,Review,Spam,Low,"Contains external promotional links (coinmaster.scam), unrelated to app functionality, posted by obvious bot account","Remove cryptocurrency promotional spam"
R002,Review,Complaint,High,"User reports 3-week delay in customer support response for billing issue, indicates systematic support problem affecting user retention","Reduce customer support response time for billing issues"
R003,Review,Bug,Critical,"Data sync completely broken after latest update, affects cross-device functionality (phone/tablet), critical workflow disruption, version 4.0.4","Fix data synchronization failure after update 4.0.4"
R004,Review,Bug,Critical,"Persistent 'sync failed' error, complete data access loss since yesterday, affects work productivity, version 1.5.6","Resolve 'sync failed' error blocking data access"
R005,Review,Praise,Low,"User satisfaction with new collaboration feature in version 3.1.8, positive feedback on team sharing functionality","Document positive feedback on collaboration feature"
R006,Review,Bug,Critical,"Login system broken after update 4.8.4, 'invalid credentials' error with correct password, complete account lockout, version 2.0.8","Fix login authentication failure after update 4.8.4"
R007,Review,Bug,High,"Intermittent sync issues between devices, unreliable for professional use, affects productivity workflow, version 2.1.2","Resolve intermittent cross-device synchronization issues"
R008,Review,Praise,Low,"High user satisfaction with document management features, recommends for content creation workflow, version 4.1.1","Document positive feedback on document management"
R009,Review,Feature Request,Medium,"Missing export functionality for PDF/Word formats, prevents data portability, dealbreaker for business users, version 3.7.4","Implement PDF/Word export functionality"
R010,Review,Bug,Critical,"Complete project file loss after sync, 3 months of work disappeared, data recovery needed urgently, version 4.5.7","Investigate and prevent project file loss during sync"
R011,Review,Feature Request,High,"Bulk export needed for users with hundreds of documents, current one-by-one process too time-consuming, version 2.8.5","Implement bulk file export functionality"
R012,Review,Complaint,Medium,"Pricing concern: $29.99/month too expensive vs competitors offering similar features at half price, version 2.3.0","Review pricing strategy and competitive positioning"
R013,Review,Feature Request,Medium,"Touch ID support requested for improved UX, password entry tedious, version 2.7.7","Add Touch ID biometric authentication support"
R014,Review,Bug,Critical,"App crashes immediately on Settings access, cannot configure preferences, complete functionality loss, version 2.6.9","Fix critical crash when accessing Settings menu"
R015,Review,Spam,Low,"Random character string 'asdkjfh aslkdjf 123!@#', no meaningful content, fake account, version 3.5.2","Filter nonsensical spam content"
R016,Review,Spam,Low,"Keyboard mashing 'qwerty12345 zxcvbnm', no app-related content, spam account, version 4.0.7","Remove random character spam submissions"
R017,Review,Feature Request,High,"Dark mode requested for eye strain reduction during long work sessions, highly requested feature, version 4.9.3","Implement dark mode theme for accessibility"
R018,Review,Feature Request,Medium,"Biometric login (Face ID/fingerprint) for security and convenience, version 1.1.4","Add Face ID and fingerprint authentication options"
R019,Review,Complaint,High,"Poor customer service: 2-week response time with ineffective solution, affects user satisfaction, version 1.2.5","Improve customer service response quality and timing"
R020,Review,Spam,Low,"Bitcoin promotional spam with external link (BitcoinBonus.fake), unrelated content, version 2.7.2","Remove cryptocurrency promotional spam"
R021,Review,Complaint,Critical,"Severe performance degradation: 30+ second document load times after update, app unusable for work, version 2.9.1","Fix critical performance regression in document loading"
R022,Review,Feature Request,High,"Dark theme for late-night work, current white interface too bright, version 3.5.5","Add dark theme for night-time usage"
R023,Review,Bug,Critical,"Login broken after latest update, 'authentication error' with correct credentials, urgent access needed, version 3.9.1","Fix authentication error after recent update"
R024,Review,Feature Request,High,"Dark mode for low light conditions, improved user comfort, version 2.1.7","Implement dark mode for low-light environments"
R025,Review,Spam,Low,"Gambling promotional spam with external link (CASHLUCKY.SCAM), excessive punctuation, version 3.0.5","Remove gambling promotional spam"
R026,Review,Praise,Low,"User very satisfied with app reliability: no crashes, no bugs, perfect sync, version 2.7.4","Document positive feedback on app stability"
R027,Review,Complaint,Critical,"Severe performance issues: constant freezing, unresponsive touches, nearly unusable, version 4.7.6","Fix critical app freezing and responsiveness issues"
R028,Review,Praise,Low,"User loves app for document management and collaboration, best productivity app used, version 1.3.4","Document excellent user satisfaction feedback"
R029,Review,Bug,High,"Sync issues persist: phone edits don't appear on desktop, affects collaborative work, version 4.1.2","Fix cross-platform synchronization between phone and desktop"
R030,Review,Feature Request,High,"Missing PDF/Word export prevents full adoption, essential for business workflow, version 2.4.9","Add standard format export (PDF/Word) functionality"
R031,Review,Spam,Low,"Coin promotional spam with external link (FREECOINS.SCAM), version 3.3.1","Filter cryptocurrency promotional spam"
R032,Review,Feature Request,High,"Dark mode for extended use comfort, current bright theme causes eye strain, version 1.0.8","Implement dark theme for extended usage comfort"
R033,Review,Complaint,High,"App performance degrading with each update, loading times dramatically increased, version 3.3.1","Optimize app performance and loading times"
R034,Review,Bug,High,"Unreliable data synchronization affects work document reliability, inconsistent behavior, version 3.0.1","Fix data synchronization reliability issues"
R035,Review,Praise,Low,"Perfect app rating: rock solid stability, great features, excellent UI, everything works as expected, version 3.4.6","Document exceptional user satisfaction"
R036,Review,Complaint,High,"Unresponsive support: 3-week old bug report unacknowledged, poor customer service, version 1.7.1","Improve support team responsiveness and acknowledgment"
R037,Review,Praise,Low,"User impressed with functionality and efficiency gains, work made more efficient, version 2.4.8","Document positive impact on user productivity"
R038,Review,Praise,Low,"User extremely happy: stable, fast, feature-rich, sets standard for productivity apps, version 1.5.8","Document outstanding user satisfaction"
R039,Review,Feature Request,High,"Dark theme needed for eye fatigue reduction during long sessions, version 3.6.2","Add dark theme to reduce eye fatigue"
R040,Review,Feature Request,Medium,"Fingerprint authentication for security enhancement, password entry tedious with frequent use, version 1.0.6","Implement fingerprint authentication for frequent users"
R041,Review,Bug,High,"iOS sync broken: documents don't update reliably across devices, affects workflow, version 1.6.1","Fix iOS-specific synchronization reliability issues"
R042,Review,Praise,Low,"User loves new sharing feature for team collaboration, makes workflow smoother, version 4.2.4","Document positive feedback on sharing functionality"
R043,Review,Spam,Low,"Random character spam 'lkjasdf 98234 random !@#$ nonsense', no meaningful content, version 2.9.9","Remove gibberish spam content"
R044,Review,Spam,Low,"Nonsensical text spam 'zxcvbnm qwerty 123456', no app relevance, version 4.6.0","Filter meaningless character combinations"
R045,Review,Spam,Low,"Deal promotional spam with external link (DEALFINDER.SCAM), version 4.5.2","Remove promotional deal spam"
R046,Review,Feature Request,Medium,"Biometric authentication (Touch ID/Face ID) for improved UX, version 1.5.0","Add Touch ID and Face ID authentication support"
R047,Review,Complaint,Critical,"Terrible performance: constant lag, slow loading, frequent freezes, almost unusable, version 1.7.6","Fix critical performance and lag issues"
R048,Review,Bug,Critical,"Cannot login since update 1.9.1, authentication system completely broken, version 1.9.1","Fix authentication system failure in version 1.9.1"
R049,Review,Complaint,High,"Non-existent customer support: multiple ignored emails, no help with critical issues, version 2.0.6","Address customer support quality and responsiveness"
R050,Review,Bug,High,"Document sync hit-or-miss: changes sometimes save across devices, unreliable behavior, version 1.7.5","Fix inconsistent document synchronization behavior"
R051,Review,Bug,High,"Cross-device sync fails frequently: documents don't stay updated between phone and computer, version 1.0.0","Resolve frequent cross-device synchronization failures"
R052,Review,Bug,Critical,"Login system broken after latest update, correct credentials not recognized, version 1.3.7","Fix post-update login credential recognition"
R053,Review,Spam,Low,"Gibberish spam 'asdfgh zxcvbn 098765 random spam text', no meaningful content, version 2.9.3","Remove nonsensical spam submissions"
R054,Review,Bug,Critical,"Settings menu crashes app every time, cannot configure anything, prevents customization, version 2.4.8","Fix Settings menu crash preventing configuration"
